Word,Count
a,6
a a,1
aad,1
aap,1
aav,1
ad,8
add,1
ado,1
alpzd,1
annum,1
ao,12
aonks,1
ap,2
at,1
aug,1
aum,2
aus,1
aut,15
av,44
avo,2
avp,4
b,5
babuent,4
babuer,1
babuerc,1
babuerit,15
babuert,1
babugerit,1
bet,15
boc,5
boe,1
bt,3
buent,14
buertt,1
bx,1
c,5
cbdimo,1
cbeimo,1
cbelimo,1
cbelmo,2
ccomcs,1
ceomitis,1
cet,1
chbelmo,1
chdmo,1
chedmo,1
chelmo,71
chlmo,1
ci,1
cis,4
civimo,1
clmo,1
cls,1
clus,1
comcs,8
comecs,1
comes,14
comese,1
comias,2
cominis,1
comins,4
cominsgs,1
cominus,1
comitis,8
comitls,1
comits,1
comiunis,1
commuunnnis,1
comnce,1
comumnis,1
comunis,4
comunms,1
comus,1
comuuis,1
concs,1
conecs,1
cones,1
conics,2
conis,1
conks,2
conmutis,1
cons,1
contis,1
conuas,1
coomes,1
coomunis,1
coomuunis,1
coonmes,1
ct,3
cuise,1
cum,7
cun,1
cus,5
cxlmo,1
d,4
dlum,2
do,7
dqo,1
dv,1
dximo,1
dxlmo,3
e,30
e o,1
eaus,1
ebelmo,2
ebemo,1
ebet,2
ec,5
ecum,1
ee,5
ei,2
eis,6
elet,1
els,1
em,2
eomecs,1
eomee,1
eomes,6
eomitis,1
eomits,1
eonuiis,1
eouius,1
ere,1
et,14
eum,4
eus,2
f,4
f iixpza,2
faaat,2
fadat,1
fagat,3
faqat,5
fare,1
fc,3
fe,8
fec,1
fee,1
ffc,1
fhare,1
fhre,1
fi,48
fient,2
fientt,1
fiert,2
fif,2
fif l,2
fif v,2
filentt,1
filiym,1
filtum,1
filtym,1
filuim,1
filum,4
filuuim,1
filuum,5
fir,1
fit,19
fit r,2
fit v,2
fitent,1
fiuert,1
fiuertt,1
fiupza,2
fius,9
fiuum,1
fqm,4
fqtu f,1
fqtu j,1
frare,1
ftarc,2
ftare,8
ftuo,1
fucrint,1
fuenint,1
fuennt,2
fuent,4
fuentt,1
fuerint,9
fuermet,1
fuernt,1
fupa,4
fupaa,1
fupea,10
fupoa,1
fupza,19
fxr,1
guf,1
gufiy,3
gufy,3
guli,2
guliy,2
guly,3
habuent,1
habueric,2
habuerit,3
hbabuent,1
hoc,3
hoce,1
hoe,2
i,8
ib,4
ibi,3
ibr,2
ibt,1
id,1
idbi,1
idv,1
ie,2
ie d,1
if,1
ifigpza,1
ifixpza,1
iftuo,1
iftup,3
ii,2
ile,1
ille,3
illos,1
illud,4
illum,2
illuo,1
ilud,1
ilum,1
in,1
io,2
it,1
ithud,1
ittud,1
itud,1
ituv,1
iullum,2
iulud,1
iulum,2
iup,1
iurat,1
iv,2
iw,1
j,2
j iixpza,1
j mpza,1
jd,1
jet,1
jke,1
jo,9
joo,1
k,4
kc,7
ke,1
ko,1
krej,1
l,2
l iixpza,1
l iizpza,2
l lhpza,2
l mpza,1
latus,15
lbl,2
le,6
leatttur,1
led,1
lg,6
li,2
lius,6
llbl,8
lo d,1
los,2
lum,2
lupza,1
mant,2
mc,5
mmm,1
mn,1
mo,1
n,2
nant,1
nem,13
niant,9
nmiant,1
nre,1
o,20
oc,2
oebet,1
ofailan,2
ofaitan,1
ofallari,1
ofauam,1
ofauan,1
ofauar,1
ofaulan,2
ofautari,1
ofculan,2
oices,1
olaiani,1
olaulatri,1
olcailan,1
omcs,1
omes,3
omias,2
omus,1
on,3
on l,1
on w,2
onke,2
onks,1
os,1
ox,4
oy,1
p,2
padmm,1
per,24
piaatetur,2
plaa,10
plaatctur,2
plaaterur,1
plaatetur,5
plaatttur,2
plaatum,10
plaatuur,1
plaawmr,1
plac,2
plad,2
pladtum,1
plaqa,1
po,1
pope,2
pr,3
pzo,8
pzo j,1
pzo l,3
pzopc,2
pzope,8
pzopec,1
q,1
qant,1
qau,1
qe,3
qiant,1
qinunis,2
qjem,1
qo,2
qquanto,2
qquo,1
qu,3
quamvo,1
quano,1
quanoo,1
quanto,1
quantw,1
quanvo,2
quanvwo,1
quanw,3
quanwo,2
qucrenvum,1
que,1
querenoum,2
querenvum,12
qum z,2
quo,13
qutu f,2
r,3
racgone,1
racio,2
ragone,2
ragoney,1
ragufi,5
ragufio,9
ragufiy,4
ragufy,1
raguiy,1
ragulio,6
raguly,4
raic,1
ramc,1
raon,1
rarc,3
rare,9
ratcs,1
rates,1
ratio,7
rationc,2
rationcz,1
rationer,1
rationes,1
rationez,2
rato,3
ratoe,1
ratoney,2
ratonnez,1
ratos,9
rauc,1
re,1
rebet,1
rkc,1
rs,2
rtos,1
rx,1
s,3
s o,1
s of,1
suliy,1
t,7
taaat,2
tagat,2
tare,1
tatio,3
tc,1
te,1
tj,2
tlud,1
tlum,1
tu is,1
tuertt,1
tum,14
tv,2
tzipzj,2
u,16
ua,2
uamc,1
uat,1
uc,1
ucan,3
ucd,1
ucl,6
ud,2
udacat,1
ue,2
ueau,1
uebet,2
uecat,1
uel,19
uf,1
ui,2
uiri,1
uirs,3
ulbet,1
ulc,3
ule,5
ullos,2
ulluo,1
ulo,1
ulos,5
ulum,3
uluo,1
uluv,3
um,3
umncanum,1
unan,1
unare,3
uni,3
unrs,2
unrzre,1
untim,1
unum,9
unun,1
unze,1
uocan,2
uocat,1
uooices,1
upea,4
upicatum,2
upza,3
urare,1
urat,2
uroicitum,1
uroricacaum,1
urpicatum,1
urs,1
us,3
ut,30
uulos,1
uunun,1
uutuv,1
uuunim,1
uuunun,1
uuurat,2
uv,2
uv cce,1
uvices,2
uwa,1
uwn p,1
uwn p j,1
uwrare,1
uwumcatum,1
uwxat,1
uxan,1
v,11
vc,3
ve,13
vebct,1
vebec,2
vebeec,1
vebeo,1
veber,2
vebes,3
vebet,21
vlbet,1
vmnes,2
vve,1
vvebet,2
vw,1
vwebet,1
vwi,2
vwi d,1
vwi o f,1
w,43
w w,2
wa,2
wae,1
wbct,1
wbet,1
wbit,1
weber,1
webert,1
webet,10
wehet,1
welet,1
wirs,1
wk,1
wlixt,2
wmoces,1
wmooces,1
wn,3
wn j,1
wnces,1
wnris,1
wocitum,1
woicatum,1
woices,2
wos,2
wpcaatum,1
wqinunis,1
wract,1
wran,1
wrare,2
wrat,3
wrbee,1
wris,1
wt,1
wtris,1
wurat,1
wuvpicatum,1
wvcatum,2
wvebet,2
ww,7
wwbet,1
wwnces,1
wwocitum,1
wwppices,1
wwraet,1
wwtxk,1
www,1
x,11
xcbct,1
xebct,1
xebet,3
xx,8
xxlxt,2
y,1
yladtum,2
